atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,data,value,proportion,index,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,file_name,full_file_name,predator_name,predator_taxa,latitude,longitude
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_90,1,0.5,157,2 miles off Active Pass,1967,Robinson,1969,no_prey,90,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,48.9,-123.26666666666667
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_122,1,0.16666666666666666,159,2 miles off Active Pass,1967,Robinson,1969,no_prey,122,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,48.9,-123.26666666666667
SAL,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_63,1,1,160,2 miles off Active Pass,1967,Robinson,1969,no_prey,63,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Sockeye salmon,Oncorhynchus nerka,48.9,-123.26666666666667
SAL,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_136,4,0.6666666666666666,162,2 miles off Active Pass,1967,Robinson,1969,no_prey,136,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Sockeye salmon,Oncorhynchus nerka,48.9,-123.26666666666667
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_13_Active_Pass_98,1,0.3333333333333333,169,6 miles off Active Pass,1967,Robinson,1969,no_prey,98,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.93333333333333,-123.18333333333334
SAL,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_13_Active_Pass_59,1,0.14285714285714285,170,6 miles off Active Pass,1967,Robinson,1969,no_prey,59,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Sockeye salmon,Oncorhynchus nerka,48.93333333333333,-123.18333333333334
SAL,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_13_Active_Pass_89,6,1,171,6 miles off Active Pass,1967,Robinson,1969,no_prey,89,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Sockeye salmon,Oncorhynchus nerka,48.93333333333333,-123.18333333333334
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_14_Point_Roberts_127,2,1,177,off Point Roberts,1967,Robinson,1969,no_prey,127,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,48.96666666666667,-123.11666666666666
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_15_Tsawwassen_Dock_104,8,1,187,off Tsawwassen Dock,1967,Robinson,1969,no_prey,104,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,49,-123.16666666666667
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_16_Canoe_Pass_Buoy_86,3,0.375,203,off Canoe Pass Buoy Fraser River,1967,Robinson,1969,no_prey,86,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,49.03333333333333,-123.26666666666667
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_16_Canoe_Pass_Buoy_106,8,1,204,off Canoe Pass Buoy Fraser River,1967,Robinson,1969,no_prey,106,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,49.03333333333333,-123.26666666666667
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_19_North_Arm_Outfall_70,1,0.5,302,"off outfalla, North Arm, Fraser River",1967,Robinson,1969,no_prey,70,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,49.2,-123.31666666666666
HE,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_20_Point_Grey_67,1,0.08333333333333333,317,1 miles off Point Grey,1967,Robinson,1969,no_prey,67,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific herring,Clupea pallasii,49.266666666666666,-123.3
HE,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_71,1,0.001976284584980237,349,3 miles off Point Grey,1967,Robinson,1969,no_prey,71,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific herring,Clupea pallasii,49.266666666666666,-123.35
HE,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_84,2,0.07142857142857142,352,3 miles off Point Grey,1967,Robinson,1969,no_prey,84,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific herring,Clupea pallasii,49.266666666666666,-123.35
HE,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_86,5,0.38461538461538464,353,3 miles off Point Grey,1967,Robinson,1969,no_prey,86,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific herring,Clupea pallasii,49.266666666666666,-123.35
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_86,1,0.024390243902439025,358,3 miles off Point Grey,1967,Robinson,1969,no_prey,86,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,49.266666666666666,-123.35
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_88,3,0.061224489795918366,359,3 miles off Point Grey,1967,Robinson,1969,no_prey,88,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,49.266666666666666,-123.35
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_113,9,1,360,3 miles off Point Grey,1967,Robinson,1969,no_prey,113,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,49.266666666666666,-123.35
FPS,adult,HE,Clupea pallasii,Clupea pallasii,Tow_21_Point_Grey_112,3,0.11538461538461539,377,3 miles off Point Grey,1967,Robinson,1969,no_prey,112,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific sand lance,Ammodytes hexapterus,49.266666666666666,-123.35
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_22_Point_Grey_81,3,0.2,384,7 miles off Point Grey,1967,Robinson,1969,no_prey,81,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,49.25,-123.41666666666667
HE,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_23_Sandheads_Light_64,3,0.2727272727272727,397,6 miles off Sandheads Light,1967,Robinson,1969,no_prey,64,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Pacific herring,Clupea pallasii,49.11666666666667,-123.45
