atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,data,value,proportion,index,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,file_name,full_file_name,predator_name,predator_taxa,latitude,longitude
CU,juvenile,HE,Fish,Clupea pallasii,NO_TN_4_Strait_of_Georgia_Active_Pass_112,4,0.037037037037037035,31,Strait of Georgia,1966,Barraclough,1967,no_prey,112,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Chum salmon,Oncorhynchus keta,48.855555555555554,-123.30833333333334
PIS,juvenile,HE,Fish,Clupea pallasii,NO_TN_5_Strait_of_Georgia_off_Active_Pass_106,20,0.07042253521126761,39,Strait of Georgia,1966,Barraclough,1967,no_prey,106,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Pink salmon,Oncorhynchus gorbuscha,48.9,-123.26666666666667
CO,juvenile,HE,Fish,Clupea pallasii,NO_TN_7_Strait_of_Georgia_1-1.5_miles_off_Point_Roberts_181,3,1,53,Strait of Georgia,1966,Barraclough,1967,no_prey,181,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Coho salmon,Oncorhynchus kisutch,48.958333333333336,-123.1
PIS,juvenile,HE,Fish,Clupea pallasii,NO_TN_26_Off_south_end_of_Galiano Island_92,1,0.125,79,Off south end of Galiano Island,1966,Barraclough,1967,no_prey,92,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Pink salmon,Oncorhynchus gorbuscha,48.90833333333333,-123.30833333333334
PIS,juvenile,HE,Fish,Clupea pallasii,NO_TN_27_Strait_of_Georgia_off_Belle_Islando_Group_90,1,0.058823529411764705,86,Strait of Georgia off Belle Island Group,1966,Barraclough,1967,no_prey,90,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Pink salmon,Oncorhynchus gorbuscha,48.830555555555556,-123.17083333333333
PIS,juvenile,HE,Fish,Clupea pallasii,NO_TN_27_Strait_of_Georgia_off_Belle_Islando_Group_110,1,0.1111111111111111,90,Strait of Georgia off Belle Island Group,1966,Barraclough,1967,no_prey,110,mm,stomachs,FISH_Barraclough_Fulton_1967.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Barraclough_Fulton_1967.xlsx,Pink salmon,Oncorhynchus gorbuscha,48.830555555555556,-123.17083333333333
SMD,adult,HE,Teleostei,Clupeidae,Fig41_Freq_occur_1977,8.33,0.032248074019588846,1,Hood Canal,1977,Bax,1978,freq_occurrence,NA,mm,stomachs,Fish_Bax_et_al_1978.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Bax_et_al_1978.xlsx,Pacific staghorn sculpin,Leptocottus armatus,47.6695,-122.86641666666667
CI,juvenile,HE,Teleostei,Clupeidae,Fig38_Freq_occur_1977,15.38,0.09090371771381289,4,Hood Canal,1977,Bax,1978,freq_occurrence,267,mm,stomachs,Fish_Bax_et_al_1978.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Bax_et_al_1978.xlsx,Chinook salmon,Oncorhynchus tshawytscha,47.6695,-122.86641666666667
SMD,adult,HE,Clupeidae,Clupeidae,Fig63_Freq_occ_1978,1.18,0.006392545641692398,8,Puget Sound,1978,K. L. Fresh,1979,freq_occurrence,NA,mm,stomachs,Fish_Fresh_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Fresh_et_al_1979.xlsx,Pacific staghorn sculpin,Leptocottus armatus,47.11333333333334,-122.70919444444445
ROC,adult,HE,Teleostei,Clupea harengus pallasii,Table_10_large_quillback,1.4,0.012533572068039392,6,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Quillback rockfish,Sebastes maliger,47.83963888888889,-122.37969444444444
