value,model
-46006.773055515514,8
-46008.194876856534,11
-46008.300720074425,9
-46008.30141033613,10
-46012.654720803715,7
-46018.416944446406,6
-48012.08939576552,4
-48013.30941181818,5
-48016.37206294052,3
-48127.858365497596,2
-48134.770053928754,1
