atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
CI,adult,chinook,2017,HE,Fish,Herring,690,0.4492753623188406,48.455111111111115,-124.24269444444444,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Fish,Herring,690,0.5,49.489916666666666,-123.29925,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Other,Herring,690,0,49.489916666666666,-123.29925,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,adult,chinook,2017,HE,Fish,Herring,690,0.56,49.29147222222222,-123.39261111111112,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CO,adult,coho,2017,HE,Fish,Herring,505,0.3333333333333333,48.383583333333334,-123.44480555555556,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CO,adult,coho,2017,HE,Other,Herring,505,0.3333333333333333,48.383583333333334,-123.44480555555556,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CO,adult,coho,2017,HE,Fish,Herring,505,0.4864864864864865,48.455111111111115,-124.24269444444444,Duguid-&_Juanes,2019,mm,stomachs,weight_gr,NA
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,111.42857142857143,0.14285714285714285,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,178,0,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,154,0,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,101.25,0.25,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,105.57142857142857,0,48.70697222222223,-123.00530555555555,Kwiaht,2018,mm,stomachs,volume,Zeo's
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,113,0,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,116,0,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,98.58333333333333,0.4166666666666667,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,150.75,0.5,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,83,0,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,81.2,0,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,88.5,0,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,76.5,0,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,121.71428571428571,0.17857142857142858,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,182,0,48.69338888888888,-123.05063888888888,Kwiaht,2018,mm,stomachs,volume,Cowlitz
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,112.76744186046511,0.023255813953488372,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,116.06060606060606,0,48.43127777777777,-122.81297222222221,Kwiaht,2018,mm,stomachs,volume,Watmough
CI,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,89.33333333333333,0,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,89,0,48.430861111111106,-122.84358333333333,Kwiaht,2018,mm,stomachs,volume,Hughes
CIH,juvenile,Chinook,2009,HE,Herring,Pacific Herring Puget Sound,180,1,48.70697222222223,-123.00530555555555,Kwiaht,2018,mm,stomachs,volume,Zeo's
