FILE,CITA
SBL_Williams_et_al_In_review,"Reum, J. C., Williams, G. D., Harvey, C. J., Andrews, K. S., & Levin, P. S. (2020). Trophic ecology of a large-bodied marine predator, bluntnose sixgill shark Hexanchus griseus, inferred using stable isotope analysis. Environmental Biology of Fishes, 103(2), 147-162."
SB_Wilson_1977,"Wilson, U. W. (1977). A study of the biology of the Rhinoceros Auklet on Protection Island, Washington (Doctoral dissertation, University of Washington)."
SBL_Bizzarro_et_al_2017,"Bizzarro, J. J., Carlisle, A. B., Smith, W. D., & Cortes, E. (2017). Diet composition and trophic ecology of Northeast Pacific Ocean sharks. In:Advances in marine biology (Vol. 77, pp. 111-148). Academic Press."
SBL_Ebert_1986,"Ebert, D. A. (1986). Biological aspects of the sixgill shark, Hexanchus griseus. Copeia, 1986(1), 131-135."
SBL_Ebert_1986_b,"Ebert, D. A. (1986, July). Aspects on the biology of hexanchid sharks along the California coast. In:Indo-Pacific Fish Biology: Proceedings of the Second International Conference on Indo-Pacific Fishes (Eds T. Uyeno, R. Arai, T. Taniuchi and K. Matsuura.) pp. 437-449."
SMD_Armstrong_et_al_1994,"Armstrong, J. L., Armstrong, D. A., & Mathews, S. B. (1996). Food habits of estuarine staghorn sculpin, Leptocottus armatus, with focus on consumption of juvenile Dungeness crab, Cancer magister. Oceanographic Literature Review, 6(43), 595."
SMD_Dinnel_et_al_1990,"Armstrong, D. A., Armstrong, J. L., Dinnel, P. A., Larsen, K., Lauth, R. R., & Sulkin, S. (1990). Fish predation on Dungeness crab in Padilla Bay, WA."
SMD_McPeek_et_al_2015,"McPeek, K. C., McDonald, P. S., & VanBlaricom, G. R. (2015). Aquaculture disturbance impacts the diet but not ecological linkages of a ubiquitous predatory fish. Estuaries and coasts, 38(5), 1520-1534."
SP_Anderson_&_Lovvorn_2012,"Anderson, E. M., & Lovvorn, J. R. (2012). Seasonal dynamics of prey size mediate complementary functions of mussel beds and seagrass habitats for an avian predator. Marine Ecology Progress Series, 467, 219-232."
SP_Anderson_et_al_2008,"Anderson, E. M., Lovvorn, J. R., & Wilson, M. T. (2008). Reevaluating marine diets of surf and white-winged scoters: interspecific differences and the importance of soft-bodied prey. The Condor, 110(2), 285-295."
SP_Lewis_et_al_2007,"Lewis, T. L., Esler, D., & Boyd, W. S. (2007). Effects of predation by sea ducks on clam abundance in soft-bottom intertidal habitats. Marine Ecology Progress Series, 329, 131-144."
SP_Tschaekofske_2010,"Tschaekofske, H. J. (2010). Prey selection and its relationship to habitat and foraging strategy of molting white-winged (Melanitta fusca) and surf scoters (M. perspicillata) in Puget Sound, WA, and the Strait of Georgia, BC (Doctoral dissertation, Evergreen State College)."
SP_Vermeer_1981,"Vermeer, K. (1981). Food and populations of surf scoters in British Columbia. Wildfowl, 32(32), 106-116."
SQX_Brodeur_et_al_1987,"Brodeur, R. D., Lorz, H. V., & Pearcy, W. G. (1987). Food habits and dietary variability of pelagic nekton off Oregon and Washington, 1979-1984."
SQX_Karpov_&_Caillet_1979,"Karpov, K. A., & Cailliet, G. M. (1979). Prey composition of the market squid, Loligo opalescens Berry, in relation to depth and location of capture, size of squid, and sex of spawning squid. Calif. Coop. Ocean. Fish. Invest. Rep, 20, 51-57."
SQX_Loukashkin_1975,"Loukashkin, A. S. (1976). On biology of market squid, Loligo opalescens, a contribution toward the knowledge of its food habits and feeding behavior. CalCOFI Reports, 18, 109-111."
SQX_Yang_et_al_1986,"Yang, W. T. (1983). Growth, behavior and sexual maturation of the market squid, Loligo opalescens, cultured through the life cycle. Fish. Bull., 84, 771-798."
ZG_Colin_&_Costello_2002,"Costello, J. H., & Colin, S. P. (2002). Prey resource use by coexistent hydromedusae from Friday Harbor, Washington. Limnology and Oceanography, 47(4), 934-942."
ZG_Purcell_&_Grover_1990,"Purcell, J. E., & Grover, J. J. (1990). Predation and food limitation as causes of mortality in larval herring at a spawning ground in British Columbia."
ZL_Fulmer_&_Bollens_2005,"Fulmer, J. H., & Bollens, S. M. (2005). Responses of the chaetognath, Sagitta elegans, and larval Pacific hake, Merluccius productus, to spring diatom and copepod blooms in a temperate fjord (Dabob Bay, Washington). Progress in Oceanography, 67(3-4), 442-461."
ZL_Feehan_et_al_2018,"Feehan, C. J., Grauman Boss, B. C., Strathmann, R. R., Dethier, M. N., & Duggins, D. O. (2018). Kelp detritus provides high quality food for sea urchin larvae. Limnology and Oceanography, 63(S1), S299-S306."
