PC1,PC2,PC3,PC4,PC5,PC6,rec_index,longitude,latitude,nrowid,atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,proportion,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,predator_taxa,basin,proportion_sc,SOG.Herring,chinook.ab,chum.ab,coho.ab,pink.ab,sockeye.ab,steelhead.ab,Seals.Nelson,Orcas,Transient_orcas,RR.SSTOut,Chla.JDF,FraserFlow.Out,PNI,NPGO,PDO,UPW,MEI,cherry_point,other_herring,basin_id,predator_stage_id,atlantis_pred_group_id
-7.6594398783504705,3.4945887072129698,3.0560742815634936,-1.1667667346237744,-0.7730306870302991,0.8923920318059686,1,-123.90991666666667,49.166805555555555,1,DOG,juvenile,HE,Herring,Clupea sp.,0.0050200803212851405,Off Nanaimo,1974,Jones,1977,per_consumption,230,mm,stomachs,Squalus acanthias,Strait of Georgia,0.005025050240963855,40571,1317.6397160353636,3540.058255678127,3233.3776272503083,100,453.97528045824475,0,3212.173517,69,NA,9.989999999999998,0.567797735,765586,-1.008,-0.008933333333333349,-0.3366666666666665,-10.791666666666668,-1.178416666666667,13963,0,7,2,6
-7.6594398783504705,3.4945887072129698,3.0560742815634936,-1.1667667346237744,-0.7730306870302991,0.8923920318059686,2,-123.90991666666667,49.166805555555555,2,DOG,juvenile,HE,Herring,Clupea sp.,0.1082737487231869,Off Nanaimo,1974,Jones,1977,per_consumption,620,mm,stomachs,Squalus acanthias,Strait of Georgia,0.10817546497446372,40571,1317.6397160353636,3540.058255678127,3233.3776272503083,100,453.97528045824475,0,3212.173517,69,NA,9.989999999999998,0.567797735,765586,-1.008,-0.008933333333333349,-0.3366666666666665,-10.791666666666668,-1.178416666666667,13963,0,7,2,6
-7.6594398783504705,3.4945887072129698,3.0560742815634936,-1.1667667346237744,-0.7730306870302991,0.8923920318059686,3,-123.90991666666667,49.166805555555555,3,DOG,juvenile,HE,Herring,Clupea sp.,0.10607621009268796,Off Nanaimo,1974,Jones,1977,per_consumption,860,mm,stomachs,Squalus acanthias,Strait of Georgia,0.10598012388259527,40571,1317.6397160353636,3540.058255678127,3233.3776272503083,100,453.97528045824475,0,3212.173517,69,NA,9.989999999999998,0.567797735,765586,-1.008,-0.008933333333333349,-0.3366666666666665,-10.791666666666668,-1.178416666666667,13963,0,7,2,6
-7.6594398783504705,3.4945887072129698,3.0560742815634936,-1.1667667346237744,-0.7730306870302991,0.8923920318059686,4,-123.90991666666667,49.166805555555555,4,DOG,adult,HE,Herring,Clupea sp.,0.0037220843672456576,Off Nanaimo,1974,Jones,1977,per_consumption,780,mm,stomachs,Squalus acanthias,Strait of Georgia,0.003728352282878412,40571,1317.6397160353636,3540.058255678127,3233.3776272503083,100,453.97528045824475,0,3212.173517,69,NA,9.989999999999998,0.567797735,765586,-1.008,-0.008933333333333349,-0.3366666666666665,-10.791666666666668,-1.178416666666667,13963,0,7,1,6
-7.6594398783504705,3.4945887072129698,3.0560742815634936,-1.1667667346237744,-0.7730306870302991,0.8923920318059686,5,-123.90991666666667,49.166805555555555,5,DOG,adult,HE,Herring,Clupea sp.,0.16016427104722789,Off Nanaimo,1974,Jones,1977,per_consumption,930,mm,stomachs,Squalus acanthias,Strait of Georgia,0.16001409677618067,40571,1317.6397160353636,3540.058255678127,3233.3776272503083,100,453.97528045824475,0,3212.173517,69,NA,9.989999999999998,0.567797735,765586,-1.008,-0.008933333333333349,-0.3366666666666665,-10.791666666666668,-1.178416666666667,13963,0,7,1,6
-3.578613540957602,5.107382134100751,0.8095272576104128,-2.3979417677504182,-0.7884349985823649,-2.172281214082399,6,-122.86641666666667,47.6695,6,SMD,adult,HE,Teleostei,Clupeidae,0.032248074019588846,Hood Canal,1977,Bax,1978,freq_occurrence,NA,mm,stomachs,Leptocottus armatus,Hood Canal,0.03222581594556926,78113,1585.3533312910615,3304.815036748929,3654.1499873615503,2340.7422603344753,1589.694333666503,14104.932603999585,4733.879071,79,NA,9.958,0.447652902,571330,0.436,1.2486666666666666,0.23083333333333325,-17.166666666666664,0.6178333333333333,11097,8639,4,1,22
-3.578613540957602,5.107382134100751,0.8095272576104128,-2.3979417677504182,-0.7884349985823649,-2.172281214082399,7,-122.86641666666667,47.6695,7,CI,juvenile,HE,Teleostei,Clupeidae,0.09090371771381289,Hood Canal,1977,Bax,1978,freq_occurrence,267,mm,stomachs,Oncorhynchus tshawytscha,Hood Canal,0.09082280399609907,78113,1585.3533312910615,3304.815036748929,3654.1499873615503,2340.7422603344753,1589.694333666503,14104.932603999585,4733.879071,79,NA,9.958,0.447652902,571330,0.436,1.2486666666666666,0.23083333333333325,-17.166666666666664,0.6178333333333333,11097,8639,4,2,1
-2.702572649833627,4.37504785920456,1.8906982543568107,-1.7675493637745319,-0.8836359676759058,-0.7320311434464493,8,-122.70919444444445,47.11333333333334,8,SMD,adult,HE,Clupeidae,Clupeidae,0.006392545641692398,Puget Sound,1978,K. L. Fresh,1979,freq_occurrence,NA,mm,stomachs,Leptocottus armatus,South Puget Sound,0.0063961430960507056,101784,1698.378738660513,7435.346278353559,2612.7813782472244,100,940.5462617893166,12877.862835902119,4732.29,79,NA,10.364,0.617309156,523248,0.609,0.5035833333333334,0.23583333333333337,-15.916666666666666,0.11283333333333334,10973,5485,6,1,22
-6.0776225488845705,4.074348217069743,0.7259982750396093,-0.8721331574937145,-0.3316474354019403,-1.2664463425562333,9,-122.37969444444444,47.83963888888889,9,ROC,adult,HE,Teleostei,Clupea harengus pallasii,0.012533572068039392,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes maliger,Central Puget Sound,0.012531028495971352,60511,1759.871043385404,4910.076598412597,1861.8482688648103,100,482.50268542909856,0,4208.138562,70,NA,9.702000000000002,0.495847241,772208,-0.014,1.8633333333333333,0.008333333333333396,-18.833333333333332,-0.11175000000000002,11844,8263,2,1,18
-6.0776225488845705,4.074348217069743,0.7259982750396093,-0.8721331574937145,-0.3316474354019403,-1.2664463425562333,10,-122.37969444444444,47.83963888888889,10,ROC,adult,HE,Teleostei,Clupea harengus pallasii,0.043659043659043655,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Sebastes caurinus,Central Puget Sound,0.04362537461538461,60511,1759.871043385404,4910.076598412597,1861.8482688648103,100,482.50268542909856,0,4208.138562,70,NA,9.702000000000002,0.495847241,772208,-0.014,1.8633333333333333,0.008333333333333396,-18.833333333333332,-0.11175000000000002,11844,8263,2,1,18
